% =========================================================================
% WANNIER FUNCTION CENTER MAP
% =========================================================================
%
% Column i is the Wannier-function index.
% Column I is the corresponding atom index from the atoms_cart order in wannier90.win.
% Column Spinor labels the spinor component for each Wannier function.
   i     I     Spinor
   1     2     up
   2     2     down
   3     2     up
   4     2     down
   5     2     up
   6     2     down
   7     3     up
   8     3     down
   9     3     up
  10     3     down
  11     3     up
  12     3     down
  13     1     up
  14     1     down
  15     1     up
  16     1     down
  17     1     up
  18     1     down
  19     1     up
  20     1     down
  21     1     up
  22     1     down
